enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Clara,Honkai Star Rail,"beach bonfire, firelight glow, sultry","Sitting near a crackling beach bonfire, Clara's sundress is illuminated by the warm orange light, making her look incredibly sultry and relaxed."
true,2,1girl,Ayaka Kamisato,Genshin Impact,"snowy veranda, soft snowfall, yearning","On a snowy veranda overlooking a frozen lake, Ayaka gazes out at the falling snow with an expression of deep, quiet yearning. Her kimono seems to absorb the cold air."
true,2,1girl,Kafka,Honkai Star Rail,"smoky jazz club, bar top, predatory","Leaning against a dark mahogany bar in a smoky jazz club, Kafka looks like she owns the room. Her dress is perfectly tailored to her seductive curves."
true,2,1girl,Ganyu,Genshin Impact,"icy cavern entrance, mist swirling, alluring","Standing at the mouth of an icy cavern, Ganyu allows the surrounding mist to cling to her sheer attire. She looks out with a captivating, alluring gaze."
true,2,1girl,Serval,Honkai Star Rail,"cyberpunk alleyway, neon reflections, bold","In a rain-slicked cyberpunk alleyway reflecting vibrant neon signs, Serval strikes a powerful pose, looking fiercely bold and energized."
true,2,1girl,Hu Tao,Genshin Impact,"graveyard setting, leaning on tombstone, mischievous","Leaning playfully against an ornate tombstone in a misty graveyard, Hu Tao winks at the viewer with her signature wicked grin."
true,2,1girl,Raiden Shogun (Alternate),Genshin Impact,"Electro field, mid-burst, powerful","She is caught mid-discharge of Electro energy, her battle dress momentarily illuminated and slightly ripped by the power surge. She looks intensely focused on the viewer."
true,2,1girl,March 7th,Honkai Star Rail,"train window seat, looking out, flustered","Sitting by a train window, gazing out at passing landscapes, March has a flushed face, suggesting she's caught daydreaming about something naughty."
true,2,1girl,Klee,Genshin Impact,"battlefield edge, amidst rubble, energetic","Standing on the edge of a battlefield littered with debris, Klee looks back over her shoulder mid-charge. Her energy is explosive and undeniably sexy."
true,2,1girl,Tighnari,Genshin Impact,"sunlit forest clearing, leaning against tree, sultry","Leaning against a massive oak in a sunlit forest clearing, Tighnari lets the sunlight highlight his damp skin. He looks at the viewer with a slow, sultry smile."
true,2,1girl,Dr. Ratio,Honkai Star Rail,"lecture hall steps, descending, intense","Descending the marble steps of a grand lecture hall, Dr. Ratio pauses to look back up at the viewer. His posture is rigid yet intensely charged with desire."
true,2,1girl,Xiao,Genshin Impact,"mountain peak, wind-swept, brooding","Perched precariously on a jagged mountain peak, Xiao lets the fierce wind whip his cloak around him. He looks out over the world with a deep, brooding intensity."
true,2,1girl,Furina,Genshin Impact,"underwater scene, bubbles rising, dramatic","Submerged in clear blue water, Furina poses dramatically as bubbles rise around her. Her dress clings perfectly to her form, making her look ethereal and demanding."
true,2,1girl,Shenhe,Genshin Impact,"ice cave interior, glowing crystals, reserved","Seated within a crystalline ice cave, Shenhe is surrounded by blue light, her robes partially open. She looks at the viewer with quiet, reserved longing."
true,2,1girl,Aether (Female),Genshin Impact,"ruined city street, leaning on archway, yearning","Leaning against a crumbling stone archway in an ancient ruin, Aether gazes into the distance with a look of profound, wistful yearning. Her clothes are slightly dusty and worn."
true,2,1girl,Herta,Honkai Star Rail,"laboratory setting, amidst equipment, playful","Floating near complex scientific equipment in a lab, Herta playfully bats at a floating sensor. She looks mischievous and overtly horny."
true,2,1girl,Ningguang,Genshin Impact,"cloud platform, overlooking city, commanding","Standing on a high cloud platform above Liyue Harbor, Ningguang surveys the scene with an air of supreme power and confident allure."
true,2,1girl,Raiden Shogun (Pouting),Genshin Impact,"throne room, slight slump, embarrassed","Slumped slightly on her massive throne in a grand hall, Raiden Shogun pouts dramatically. Her kimono is just slightly askew, revealing a hint of cleavage."
true,2,1girl,Keqing (Wet/Slipping),Genshin Impact,"rainy street corner, suit damp, flustered","Caught on a rainy city corner, Keqing's suit jacket has slipped open further than usual. She looks utterly flustered by the sudden attention."
true,2,1girl,Himeko (Confident/Wet),Honkai Star Rail,"dockside, sea spray, sultry","Standing at a bustling spaceport dock, Himeko is lightly misted with sea spray, making her dress cling beautifully. She leans back against a crate with a confident smirk."
true,2,1girl,Yae Miko (Provocative/Wet),Genshin Impact,"bamboo grove, dripping leaves, seductive","In a lush bamboo grove, Yae Miko is drenched by the constant drip of leaves. The wetness makes her kimono cling perfectly to her curves; she looks intensely seductive."
true,2,1girl,Trailblazer (Angry Pout),Honkai Star Rail,"ship engine room, leaning on railing, frustrated","Leaning against a hot metal railing in the ship's engine room, the Trailblazer pouts dramatically. Her flushed face shows frustration mixed with pent-up desire."
true,2,1girl,Jean Gunnhildr (Slipping/Wet),Genshin Impact,"afternoon drizzle, uniform soaked, embarrassed","Caught in a light afternoon drizzle, Jean's uniform is clinging to her skin, and one shoulder strap has slipped down. She looks mortified but beautiful."
true,2,1girl,Eula Lawrence (Confident/Draped),Genshin Impact,"outdoor terrace, dramatic wind, alluring","On an outdoor terrace, a strong breeze catches Eula's gown, causing it to billow and drape around her dramatically. She meets the viewer's gaze with supreme confidence."
true,2,1girl,Bronya Rand (Provocative/Wet),Honkai Star Rail,"data server room, glowing lights, teasing","In a humming data server room bathed in blue light, Bronya leans over a console, water droplets clinging to her blouse. She teases the viewer with a knowing look."
true,2,1girl,Nahida (Confident/Wet),Genshin Impact,"rain-soaked ruins, vibrant green, powerful","Standing amidst ancient, rain-soaked ruins, Nahida looks incredibly vital and powerful. Her dress glistens, emphasizing her divine energy."
true,2,1girl,Welt Yang (Horny/Relaxed),Honkai Star Rail,"cafe window seat, steam rising, contented","Sitting by a cafe window with steam gently rising from his coffee cup, Welt leans back in the chair, looking utterly content and horny."
true,2,1girl,Venti (Provocative/Wet),Genshin Impact,"riverbank, splashing water, alluring","Standing at the edge of a flowing river, Venti is playfully splashing water onto himself. His tunic clings to his chest, making him look irresistibly alluring."
true,2,1girl,Clara (Shy/Confused),Honkai Star Rail,"rainy city street, umbrella held low, bashful","Under a small umbrella on a rainy city street, Clara looks up at the viewer with wide, confused eyes. Her sundress is damp and clinging to her legs."
true,2,1girl,Ayaka Kamisato (Provocative/Wet),Genshin Impact,"ice palace interior, dripping chandeliers, inviting","In the grand hall of an ice palace, water drips from ornate chandeliers onto Ayaka's kimono. She looks out with a soft, inviting expression."
true,2,1girl,Kafka (Confident/Sultry),Honkai Star Rail,"backlit alleyway, silhouette effect, dominant","Standing in a narrow, backlit alleyway, Kafka is partially silhouetted against the light. Her posture is commanding, and her dress seems to melt into shadow."
true,2,1girl,Ganyu (Provocative/Wet),Genshin Impact,"snowy meadow, melting snow, teasing","In a snowy meadow where the snow is actively melting, Ganyu's attire is damp. She playfully teases the viewer with a slight tilt of her head."
true,2,1girl,Serval (Confident/Sultry),Honkai Star Rail,"hovering platform, wind-swept, bold","Hovering slightly above a metallic platform, Serval lets the air currents whip her hair and outfit around her. She looks fiercely confident and sexy."
true,2,1girl,Hu Tao (Provocative/Confident),Genshin Impact,"graveyard entrance, leaning out, mischievous","Leaning dramatically out of an ornate graveyard gate, Hu Tao throws a playful leg forward. Her robes are open, showcasing her curves with mischief."
true,2,1girl,Raiden Shogun (Vulnerable/Wet),Genshin Impact,"shrine steps, dripping water, yearning","Standing on the stone steps of a shrine, she allows the rainwater to drip from her armor and kimono. She looks down at the ground with deep, quiet yearning."
true,2,1girl,March 7th (Confident/Provocative),Honkai Star Rail,"train roof, wind-blown, bold","Standing on the roof of the Astral Express, buffeted by strong winds, March throws her arms wide. Her shorts are slightly lifted by the gale force."
true,2,1girl,Klee (Wet/Sultry),Genshin Impact,"muddy field, splashing through, energetic","Splashing joyfully through a muddy field, Klee's adventure skirt is completely saturated and clinging to her hips. She looks incredibly sexy while playing."
true,2,1girl,Tighnari (Shy/Wet),Genshin Impact,"rain-soaked forest path, leaning on trunk, bashful","Leaning against a tree trunk on a rain-soaked path, Tighnari is slightly hunched over. He looks up at the viewer with wide, embarrassed eyes."
true,2,1girl,Dr. Ratio (Provocative/Wet),Honkai Star Rail,"rainy balcony, leaning out, intense","Leaning dramatically out of a rainy apartment balcony, Dr. Ratio lets the rain dampen his shirt. His gaze is piercing and intensely demanding."
true,2,1girl,Xiao (Confident/Alluring),Genshin Impact,"mountain pass, cloak billowing, powerful","Standing on a high mountain pass, Xiao allows his heavy cloak to billow dramatically behind him like wings. He looks out with an aura of potent allure."
true,2,1girl,Furina (Shy/Provocative),Genshin Impact,"water fountain edge, splashing playfully, embarrassed","Sitting right at the edge of a grand water fountain, Furina splashes her hands in the water. She throws a playful glance up at the viewer while blushing."
true,2,1girl,Shenhe (Confident/Alluring),Genshin Impact,"snowy clearing, standing tall, powerful","Standing perfectly still in a pristine snowy clearing, Shenhe allows the snow to dust her robes. Her posture is regal yet undeniably alluring."
true,2,1girl,Aether (Female) (Wet/Confidant),Genshin Impact,"ocean cliffside, wind-swept, bold","On a dramatic ocean cliffside, Aether stands facing the sea, her clothes whipped by the strong wind. She looks back over her shoulder with confident boldness."
true,2,1girl,Herta (Provocative/Confident),Honkai Star Rail,"floating in nebula, dynamic pose, playful","Floating dynamically within a vibrant nebula, Herta strikes a pose that showcases her cosmic attire's cutouts perfectly. She seems to be dancing for the viewer."
true,2,1girl,Ningguang (Shy/Vulnerable),Genshin Impact,"cloud platform, looking down, delicate","Standing on a high cloud platform, Ningguang looks down at the world below with a soft, vulnerable expression. Her robes seem too grand for her shy demeanor."
true,2,1girl,Raiden Shogun,Genshin Impact,"ecstatic/overwhelmed, divine","She is overwhelmed by a surge of Electro power, her eyes wide with ecstatic pleasure. Her kimono seems to vibrate around her form."
true,2,1girl,Keqing,Genshin Impact,"angry pouting, defiant","Keqing crosses her arms tightly, glaring at the viewer with an angry pout. The tension in her posture screams suppressed desire."
true,2,1girl,Himeko,Honkai Star Rail,"shy/bashful, blushing heavily","Himeko is caught off guard, looking down with a deep blush spreading across her cheeks. Her expression is one of sweet, overwhelmed shyness."
true,2,1girl,Yae Miko,Genshin Impact,"confident smirk, teasing","Yae Miko leans in close to the viewer, sporting a confident, knowing smirk. She looks like she knows exactly how much trouble she's causing."
true,2,1girl,Trailblazer (Female),Honkai Star Rail,"ecstatic/joyful, breathless","The Trailblazer throws her head back in pure joy, breathing heavily after exertion. Her expression is one of unadulterated, horny happiness."
true,2,1girl,Jean Gunnhildr,Genshin Impact,"flustered embarrassment, flushed","Jean looks utterly flustered, hands pressed to her cheeks as she stares at the viewer. A deep blush covers her face from being caught off guard."
true,2,1girl,Eula Lawrence,Genshin Impact,"smoldering lust, intense gaze","Eula doesn't smile; instead, she fixes the viewer with a slow, smoldering gaze that promises retribution and pleasure."
true,2,1girl,Bronya Rand,Honkai Star Rail,"shy/embarrassed, looking away","Bronya is caught mid-giggle, quickly averting her eyes from the viewer. Her cheeks are flushed, betraying her inner embarrassment."
true,2,1girl,Nahida,Genshin Impact,"confident desire, knowing smile","Nahida looks directly at the viewer with a gentle but incredibly confident smile, as if she knows exactly what you want from her."
true,2,1girl,Welt Yang,Honkai Star Rail,"overwhelmed/tender, soft gaze","Welt has dropped his usual stoicism for a moment; he looks tenderly at the viewer, his eyes conveying deep, gentle longing."
true,2,1girl,Venti,Genshin Impact,"playful mischief, cheeky grin","Venti is caught mid-prank, flashing a wide, mischievous grin while winking. He seems to be enjoying your reaction immensely."
true,2,1girl,Clara,Honkai Star Rail,"shy/bashful, looking down","Clara looks down at her own hands, blushing deeply, clearly shy about the attention but secretly thrilled by it."
true,2,1girl,Ayaka Kamisato,Genshin Impact,"confident allure, subtle smile","Ayaka offers a small, confident smile while maintaining perfect posture. It's a quiet invitation to explore her beauty."
true,2,1girl,Kafka,Honkai Star Rail,"predatory hunger, intense focus","Kafka’s expression is pure predatory hunger; her lips are slightly parted, and her eyes are locked onto the viewer like prey."
true,2,1girl,Ganyu,Genshin Impact,"vulnerable longing, soft gaze","Ganyu looks at the viewer with a soft, almost heartbreakingly vulnerable gaze, conveying deep, unspoken yearning."
true,2,1girl,Serval,Honkai Star Rail,"confident challenge, smirk","Serval throws up a challenging smirk, tilting her head slightly. She seems to be daring the viewer to try and break through her confidence."
true,2,1girl,Hu Tao,Genshin Impact,"wicked glee, mischievous grin","Hu Tao is caught mid-cackle, eyes sparkling with wicked glee. Her entire posture screams playful, horny mischief."
true,2,1girl,Raiden Shogun (Alternate),Genshin Impact,"intense focus, demanding","Her gaze is laser-focused on the viewer; it's not just desire, it's a demand for satisfaction."
true,2,1girl,March 7th,Honkai Star Rail,"flustered excitement, wide eyes","March looks utterly overwhelmed by the situation, her eyes wide and sparkling with excited anticipation. She seems ready to burst with energy."
true,2,1girl,Klee,Genshin Impact,"ecstatic playfulness, beaming","Klee is mid-laugh, a huge, unrestrained smile on her face. Her entire being radiates happy, energetic horniness."
true,2,1girl,Tighnari,Genshin Impact,"smoldering confidence, slow gaze","Tighnari slowly raises his head from examining something, meeting the viewer's eyes with a deep, smoldering look that promises heat."
true,2,1girl,Dr. Ratio,Honkai Star Rail,"intense intellectual lust, focused","He looks at the viewer as if they are a complex equation he needs to solve—and his solution involves immediate physical gratification."
true,2,1girl,Xiao,Genshin Impact,"brooding surrender, weary desire","Despite his usual stoicism, Xiao's eyes show a flicker of weary surrender, hinting at deep, long-suppressed need."
true,2,1girl,Furina,Genshin Impact,"demanding theatricality, powerful pout","Furina strikes a pose with an exaggerated, demanding pout. She looks like she is *insisting* you pay attention to her needs."
true,2,1girl,Shenhe,Genshin Impact,"quiet contentment, soft gaze","Shenhe seems perfectly content in the moment, gazing at the viewer with a quiet, deeply satisfied look of inner peace and desire."
true,2,1girl,Aether (Female),Genshin Impact,"vulnerable longing, wistful","She looks away from the viewer momentarily, lost in thought, her expression filled with sweet, melancholic yearning."
true,2,1girl,Herta,Honkai Star Rail,"playful curiosity, inquisitive smirk","Herta tilts her head, a curious smirk playing on her lips. She seems to be assessing you, wondering if you can keep up with her playful energy."
true,2,1girl,Ningguang,Genshin Impact,"confident satisfaction, knowing smile","She looks down from above with a satisfied, knowing smile—the look of someone who has everything and is enjoying the view (and your attention)."
true,2,1girl,Raiden Shogun (Pouting),Genshin Impact,"stubborn pout, slight defiance","A classic stubborn pout; she looks like she *should* be annoyed but secretly craves the affection/attention."
true,2,1girl,Keqing (Flustered Excitement),Genshin Impact,"blushing rapidly, wide-eyed","Keqing's composure breaks as a wave of excitement washes over her. Her eyes widen, and she blushes instantly."
true,2,1girl,Himeko (Sultry Confidence),Honkai Star Rail,"smoldering confidence, relaxed","She leans back slightly, radiating effortless sultry confidence. She doesn't need to try hard; the desire is inherent in her pose."
true,2,1girl,Yae Miko (Playful Tease),Genshin Impact,"teasing smirk, inviting gaze","Her smile is less about mischief and more about a direct invitation—a playful tease that begs for response."
true,2,1girl,Trailblazer (Needy/Vulnerable),Honkai Star Rail,"seeking comfort, soft eyes","The Trailblazer looks directly at the viewer with wide, pleading eyes, clearly seeking reassurance or physical closeness."
true,2,1girl,Jean Gunnhildr (Confident Allure),Genshin Impact,"determined desire, strong gaze","Her expression is resolute; she isn't just flustered—she *wants* something, and her determined look promises it."
true,2,1girl,Eula Lawrence (Smoldering Anger),Genshin Impact,"angry lust, intense glare","A rare blend: Eula looks angry at the world, but that anger is fueled by a deep, simmering sexual tension."
true,2,1girl,Bronya Rand (Playful Tease),Honkai Star Rail,"teasing smirk, slight tilt","She tilts her head just so, giving the viewer a playful, teasing look while maintaining an air of intellectual superiority."
true,2,1girl,Nahida (Confident Playfulness),Genshin Impact,"playful confidence, bright eyes","Her expression is bright and energetic; she looks confident in her own allure, ready to play games with the viewer."
true,2,1girl,Welt Yang (Tender Longing),Honkai Star Rail,"soft yearning, gentle smile","A very soft, almost melancholic longing crosses his face as he gazes at you, a quiet plea for connection."
true,2,1girl,Venti (Playful Confidence),Genshin Impact,"confident joy, open mouth","He has an open-mouthed expression of pure, joyful confidence, like he's about to sing a very suggestive song."
true,2,1girl,Clara (Confident Sultry),Honkai Star Rail,"bold invitation, direct gaze","She doesn't just look at you; she *invites* you in with a bold, confident, sultry stare."
true,2,1girl,Ayaka Kamisato (Vulnerable Yearning),Genshin Impact,"soft longing, gentle blush","Her expression is one of delicate yearning—a soft blush accompanies her gaze as if she's dreaming of something beautiful and intimate."
true,2,1girl,Kafka (Confident Dominance),Honkai Star Rail,"unapologetic desire, powerful","She looks at you with an air of absolute certainty: 'You belong to me.' Her expression is dominant and utterly self-assured."
true,2,1girl,Ganyu (Teasing Allure),Genshin Impact,"playful teasing, slight smirk","A subtle, knowing smirk plays on Ganyu's lips. It suggests she knows something about your desires that you don't yet know."
true,2,1girl,Serval (Confident Playfulness),Honkai Star Rail,"bold energy, energetic grin","Serval looks energized and playful, her grin wide and full of confident, sporty sex appeal."
true,2,1girl,Hu Tao (Wicked Glee),Genshin Impact,"unrestrained glee, mischievous","Her eyes are crinkled with wicked glee; she seems to be having the time of her life while being sexy."
true,2,1girl,Raiden Shogun (Demanding Lust),Genshin Impact,"intense demand, focused stare","This is pure lust channeled through divine power—a look that says, 'Satisfy me *now*.'"
true,2,1girl,March 7th (Flustered Desire),Honkai Star Rail,"blushing intensely, wide-eyed desire","Her cheeks are burning red, and her eyes are huge, reflecting a sudden, overwhelming wave of sexual excitement."
true,2,1girl,Klee (Confident Energy),Genshin Impact,"energetic confidence, beaming","She radiates pure, energetic confidence while looking at you. She's ready to play, conquer, and be sexy doing it."
true,2,1girl,Tighnari (Smoldering Lust),Genshin Impact,"slow burn desire, intense focus","His gaze is slow, deliberate, and deeply smoldering—a promise of a long, satisfying build-up."
true,2,1girl,Dr. Ratio (Intense Focus/Lust),Honkai Star Rail,"intellectual heat, burning stare","He looks at you like you are the most fascinating variable in his life equation, and that fascination is intensely sexual."
true,2,1girl,Xiao (Brooding Allure),Genshin Impact,"brooding allure, subtle smile","A very slight upturn of his lips breaks through his brooding facade, revealing a deep, hidden layer of alluring desire."
true,2,1girl,Furina (Demanding Playfulness),Genshin Impact,"demanding playfulness, pouty smirk","She combines the demanding nature with playful teasing—a look that says, 'You better try to keep up with this drama!'"
true,2,1girl,Shenhe (Quiet Longing),Genshin Impact,"quiet longing, gentle gaze","Her desire is subtle; it's a quiet, deep ache in her eyes as she gazes at you."
true,2,1girl,Aether (Female) (Confident Desire),Genshin Impact,"confident yearning, open expression","She looks directly at the viewer with an open, honest expression of wanting something—a clear invitation to connect."
true,2,1girl,Herta (Playful Hunger),Honkai Star Rail,"playful hunger, inquisitive smirk","Her curiosity is tinged with sexual hunger; she seems intrigued by your ability to satisfy her needs."
true,2,1girl,Ningguang (Confident Invitation),Genshin Impact,"confident invitation, regal smile","She offers a regal, confident smile that acts as an open invitation—a subtle command wrapped in elegance."
true,2,1girl,Raiden Shogun (Stubborn Desire),Genshin Impact,"stubborn desire, slight frown","A slight furrow in her brow suggests she's resisting something, but the underlying tension shows a powerful, stubborn desire to yield."
true,2,1girl,Raiden Shogun,Genshin Impact,"kimono, ripped/torn, divine","Her magnificent kimono is dramatically torn near the waist, revealing glimpses of her powerful form beneath. The Electro energy seems to be tearing it apart."
true,2,1girl,Keqing,Genshin Impact,"qipao, sheer panels, aggressive","The side panels of her qipao are made of ultra-sheer fabric, allowing a tantalizing view of her curves through the material. She wears it with an aggressive confidence."
true,2,1girl,Himeko,Honkai Star Rail,"cocktail dress, low back, sultry","Her cocktail dress features a daringly low, open back that showcases her entire upper spine and shoulders. The fabric drapes perfectly to enhance her curves."
true,2,1girl,Yae Miko,Genshin Impact,"yukata, partially undone, languid","The ties of her yukata are loosened just enough to allow the front panels to fall open, revealing a generous amount of cleavage beneath. She looks utterly relaxed in it."
true,2,1girl,Trailblazer (Female),Honkai Star Rail,"bodysuit, sheer mesh, athletic","Her sleek bodysuit is overlaid with strategic sections of black sheer mesh, highlighting her toned muscles and curves perfectly for action."
true,2,1girl,Jean Gunnhildr,Genshin Impact,"uniform, short skirt, high thigh-slit","The hemline of her uniform skirt has been modified into a daringly high slit, offering constant glimpses of her legs with every step."
true,2,1girl,Eula Lawrence,Genshin Impact,"slip dress, sheer lace, draped","She wears a delicate, floor-length slip dress made entirely of black lace. The fabric seems to melt over her body like liquid shadow."
true,2,1girl,Bronya Rand,Honkai Star Rail,"sweater, pulled down, revealing midriff","Her oversized sweater is deliberately pulled down just enough to expose a sliver of toned midriff above the waistband of her skirt."
true,2,1girl,Nahida,Genshin Impact,"leafy crop top/skirt set, sheer overlay","Her outfit features a fitted leaf-patterned crop top paired with a short, sheer skirt that flows around her legs."
true,2,1girl,Welt Yang,Honkai Star Rail,"turtleneck, stretched fabric, intense","His dark turtleneck is pulled taut across his chest by the intensity of his posture, making the fabric look almost translucent in places."
true,2,1girl,Venti,Genshin Impact,"linen shirt, unbuttoned low, sheer sleeves","His loose linen shirt is unbuttoned very low, and the sleeves are made of a light, semi-sheer material that catches the breeze."
true,2,1girl,Clara,Honkai Star Rail,"sundress, wet cling, delicate","Her sundress is thin and sheer, clinging to her body like a second skin after being splashed by water. It emphasizes every curve beautifully."
true,2,1girl,Ayaka Kamisato,Genshin Impact,"kimono, obi slipping, revealing waist","The ornate obi of her kimono has slipped slightly off one hip, drawing attention to the delicate line of her waist and hips."
true,2,1girl,Kafka,Honkai Star Rail,"leather bustier/mini skirt, tight fit, dominant","Her leather bustier is cut extremely tightly across her chest, paired with a micro-mini skirt that barely covers anything."
true,2,1girl,Ganyu,Genshin Impact,"attire variation, sheer sleeves, teasing","The sheer fabric of Ganyu's outer sleeves are pulled up to her biceps, drawing attention to the delicate skin underneath."
true,2,1girl,Serval,Honkai Star Rail,"techwear, cropped top, high-waisted shorts","Her techwear is designed for maximum exposure: a tight crop top and very short, form-fitting shorts."
true,2,1girl,Hu Tao,Genshin Impact,"robe variation, tied loosely, flowing","She has tied her robes in a way that allows them to flow open dramatically from the waist down, creating movement and revealing skin."
true,2,1girl,Raiden Shogun (Alternate),Genshin Impact,"battle dress, armor plating, exposed midriff","The intricate armor plates on her battle dress are strategically placed to leave significant sections of her toned midriff bare."
true,2,1girl,March 7th,Honkai Star Rail,"casual top, short shorts, ripped hem","Her casual top is slightly cropped, and the hem of her denim shorts has been deliberately frayed and ripped for extra sexiness."
true,2,1girl,Klee,Genshin Impact,"adventure gear, torn skirt, exposed thighs","Her adventure skirt is heavily torn at the sides, allowing a clear view of her energetic, tanned thighs beneath."
true,2,1girl,Tighnari,Genshin Impact,"ranger gear, open vest, sheer undershirt","His ranger vest is worn open over a thin, slightly damp sheer undershirt that clings to his chest."
true,2,1girl,Dr. Ratio,Honkai Star Rail,"academic wear, unbuttoned shirt, exposed chest","His crisp white dress shirt is undone several buttons down, revealing a hint of defined pectoral muscle beneath the formal collar."
true,2,1girl,Xiao,Genshin Impact,"warrior garb, cloak draped, bare arms","His heavy warrior garb allows his powerful, lean arms and shoulders to be fully visible, emphasizing his physique."
true,2,1girl,Furina,Genshin Impact,"hydro-dress, clinging, wet look","Her elaborate dress is designed with a high sheen, making it appear perpetually wet and clinging tightly to her form."
true,2,1girl,Shenhe,Genshin Impact,"robes, sheer inner layer, reserved","Beneath the heavy outer robes, Shenhe wears a thin, semi-sheer inner garment that hints at her shape beneath. It's subtly revealing."
true,2,1girl,Aether (Female),Genshin Impact,"traveler outfit, slightly torn, adventurous","Her iconic traveler outfit has subtle tears near the shoulders and hips, adding a rugged, sexy edge to the design."
true,2,1girl,Herta,Honkai Star Rail,"cosmic attire, cutouts, dynamic","Her cosmic dress is covered in geometric patterns that incorporate strategic, revealing cutouts across her torso and sides."
true,2,1girl,Ningguang,Genshin Impact,"robes, high slit, flowing fabric","The magnificent robes are designed with an impossibly high slit, allowing for maximum leg exposure while maintaining regal elegance."
true,2,1girl,Raiden Shogun (Shy),Genshin Impact,"kimono, delicate drape, modest but revealing","Her kimono is cut to be more modest in the sleeves but features a very soft, flowing drape that hints at her curves beneath."
true,2,1girl,Keqing,Genshin Impact,"cyber-qipao, wet sheen, aggressive","She wears a high-tech qipao made of glossy black material that is slick with water. She strikes an aggressive pose, looking ready to take charge."
true,2,1girl,Himeko,Honkai Star Rail,"vintage pin-up dress, sheer stockings, sultry","Himeko is wearing a 1940s-style cocktail dress paired with sheer black stockings. She leans against a vintage jukebox, radiating classic glamour and heat."
true,2,1girl,Yae Miko,Genshin Impact,"modern lingerie kimono, open front, languid","She wears a modern take on her kimono made of silk lace, left completely open to reveal delicate lingerie underneath. She looks utterly relaxed in the luxurious fabric."
true,2,2,Trailblazer (Female),Honkai Star Rail,"battle-ready bodysuit, wet sheen, confident","The Trailblazer is mid-combat stance, her futuristic bodysuit glistening with sweat and rain. The material clings tightly to every muscle definition."
true,2,1girl,Jean Gunnhildr,Genshin Impact,"school uniform, sheer blouse, tied high, embarrassed","Her school blouse is made of fine, semi-sheer white fabric, and it's tied up just under her bust. She looks mortified by how revealing the tie makes it."
true,2,1girl,Eula Lawrence,Genshin Impact,"battle gown, torn lace trim, alluring","Her battle gown features intricate black lace trimming that is slightly frayed and ripped at the hemline. The damage adds a layer of raw, sexy vulnerability."
true,2,1girl,Bronya Rand,Honkai Star Rail,"tech-saree, sheer fabric, playful","Bronya wears her uniform adapted into a futuristic, sheer saree. She playfully adjusts the drape while looking teasingly at the viewer."
true,2,1girl,Nahida,Genshin Impact,"forest sundress, wet moss texture, confident","Her dress mimics the look of vibrant green moss and is damp from dew. It clings to her small frame, making her look incredibly vital and sexy."
true,2,1girl,Welt Yang,Honkai Star Rail,"casual sweater, slightly ripped, tender","His comfortable sweater has a small tear near the shoulder, revealing skin underneath. He looks at you with a soft, tender expression of longing."
true,2,1girl,Venti,Genshin Impact,"bard tunic, sheer undershirt, seductive","He wears his usual tunic over a thin, semi-sheer white undershirt that shows the outline of his chest beautifully. He looks deeply seductive."
